Operator,Name,Site
betmgm,betmgm_sports,https://promo.on.betmgm.ca/en/promo/offers/p/sportsbook
betmgm,betmgm_poker,https://promo.on.betmgm.ca/en/promo/offers/p/casino
betmgm,betmgm_poker,https://promo.on.betmgm.ca/en/promo/offers/p/poker
fanduel,fanduel_pt_1,https://canada.casino.fanduel.com/promotions.shtml
fanduel,fanduel_pt_2,https://canada.casino.fanduel.com/promotions.shtml
bet365,bet365_special_offers,https://www.on.bet365.ca/?_h=8Tsv3JH5fOxtNw9kaF4C9w%3D%3D#/OF/
bet365,bet365_other_sports,https://www.on.bet365.ca/?_h=8Tsv3JH5fOxtNw9kaF4C9w%3D%3D#/OF/
bet365,bet365_soccer,https://www.on.bet365.ca/?_h=8Tsv3JH5fOxtNw9kaF4C9w%3D%3D#/OF/
bet365,bet365_casino,https://www.on.bet365.ca/?_h=8Tsv3JH5fOxtNw9kaF4C9w%3D%3D#/OF/
sports_interaction,sports_interaction_May,https://promo.sportsinteraction.com/en-ca/promo/offers
betrivers,betrivers_pt_1,https://on.betrivers.ca/?page=landing#home
betrivers,betrivers_pt_2,https://on.betrivers.ca/?page=landing#home
northstar_bets,northstar_bets_casino,https://www.northstarbets.ca/promotions/casino
northstar_bets,northstar_bets_casino,https://www.northstarbets.ca/promotions/casino
northstar_bets,northstar_bets_sports,https://www.northstarbets.ca/promotions/sports
northstar_bets,northstar_bets_elite,https://www.northstarbets.ca/promotions/vip
draftkings,DK_Sports,https://sportsbook.draftkings.com/on-ca-sports-betting
